,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,approx_USB_power_draw,fsize,task,dataset,environment
33,InceptionV3,NCS2,Workstation,,,23851784.0,23817352.0,34432.0,0.11473549724949732,6249.833561709072,12000.0,1.0,0.7559166666666667,0.8900833333333334,0.9243333333333333,0.94975,6252.701949140309,108.98181699999999,infer,imagenet,NCS2Workstation
34,InceptionV3,TFLITE,RasPi,,,23851784.0,23817352.0,34432.0,0.24028795423576968,37965.293491496974,39648.0,1.0,0.7773397854,0.9029152168,0.9310026098,0.9534263085,37965.293491496974,108.98181699999999,infer,imagenet,TFLITERasPi
35,MobileNet,,Workstation,,,4253864.0,4231976.0,21888.0,0.0139285628663169,2348.69564364066,12000.0,64.0,0.61525,0.7759166666666667,0.8234166666666667,0.8741666666666666,2348.69564364066,,infer,imagenet,Workstation
37,MobileNet,EDGE TPU,RasPi,,,4253864.0,4231976.0,21888.0,0.0009601516040272054,151.69897433909202,79296.0,1.0,0.5867904524,0.7467784906,0.7991880528,0.8516837031,151.7229781291927,,infer,imagenet,EDGE TPURasPi
38,MobileNet,EDGE TPU,Workstation,,,4253864.0,4231976.0,21888.0,0.004618351035647922,267.190105896864,12000.0,1.0,0.5976666666666667,0.7574166666666665,0.8074166666666667,0.85575,267.3055646727552,,infer,imagenet,EDGE TPUWorkstation
39,MobileNet,NCS2,RasPi,,,4253864.0,4231976.0,21888.0,0.007392080867989252,1167.923854012196,66080.0,1.0,0.5693417428,0.741345875,0.7911682615999999,0.8523452226,1168.1086560338958,,infer,imagenet,NCS2RasPi
40,MobileNet,NCS2,Workstation,,,4253864.0,4231976.0,21888.0,0.037258435911602446,2056.608365399172,12000.0,1.0,0.5763333333333334,0.7420833333333333,0.7928333333333333,0.8525833333333334,2057.5398262969625,,infer,imagenet,NCS2Workstation
41,MobileNet,TFLITE,RasPi,,,4253864.0,4231976.0,21888.0,0.0225402257635985,3561.3352825611837,66080.0,1.0,0.5869626287,0.7452832752999999,0.7981821807,0.8500163114,3561.3352825611837,,infer,imagenet,TFLITERasPi
43,MobileNetV2,,Workstation,,,3538984.0,3504872.0,34112.0,0.016260914517773523,2516.565116256768,12000.0,64.0,0.6223333333333333,0.7798333333333334,0.8286666666666666,0.8785,2516.565116256768,14.552912,infer,imagenet,Workstation
44,MobileNetV2,EDGE TPU,RasPi,,,3538984.0,3504872.0,34112.0,0.0012452583985524952,196.74470734681927,66080.0,1.0,0.6176100116,0.7740910903,0.8181636944,0.8650817384,196.77583880678307,14.552912,infer,imagenet,EDGE TPURasPi
45,MobileNetV2,EDGE TPU,Workstation,,,3538984.0,3504872.0,34112.0,0.004973398195372687,284.84612307507604,12000.0,1.0,0.6135833333333334,0.7730833333333335,0.82125,0.87125,284.97045802996035,14.552912,infer,imagenet,EDGE TPUWorkstation
46,MobileNetV2,NCS2,RasPi,,,3538984.0,3504872.0,34112.0,0.007774042365243189,1228.2782884285969,66080.0,1.0,0.6180404524,0.7791204509000001,0.8306102291,0.8807769681999998,1228.472639487728,14.552912,infer,imagenet,NCS2RasPi
47,MobileNetV2,NCS2,Workstation,,,3538984.0,3504872.0,34112.0,0.04291591548257404,2359.959133934628,12000.0,1.0,0.613,0.775,0.8235833333333332,0.87275,2361.0320318216923,14.552912,infer,imagenet,NCS2Workstation
48,MobileNetV2,TFLITE,RasPi,,,3538984.0,3504872.0,34112.0,0.028936779852640832,4571.986203788595,26432.0,1.0,0.6176100116,0.7774258736,0.8156626069,0.8650817384,4571.986203788595,14.552912,infer,imagenet,TFLITERasPi
51,NASNetMobile,EDGE TPU,RasPi,,,5326716.0,5289978.0,36738.0,0.0113573519721976,1794.4225290450872,26432.0,1.0,0.6218645788,0.7736878353,0.8321915326,0.883853487,1794.7064628443918,23.037831999999998,infer,imagenet,EDGE TPURasPi
52,NASNetMobile,EDGE TPU,Workstation,,,5326716.0,5289978.0,36738.0,0.014112412240770129,791.641759633056,12000.0,1.0,0.6495833333333333,0.7976666666666666,0.84625,0.8903333333333333,791.9945699390751,23.037831999999998,infer,imagenet,EDGE TPUWorkstation
53,NASNetMobile,NCS2,RasPi,,,5326716.0,5289978.0,36738.0,0.022497559917896773,3554.5662813804247,59472.0,1.0,0.1332508699,0.2401406409,0.2962293388,0.364306945,3555.128720378372,23.037831999999998,infer,imagenet,NCS2RasPi
54,NASNetMobile,NCS2,Workstation,,,5326716.0,5289978.0,36738.0,0.10529091686010361,5780.601098609616,12000.0,1.0,0.12583333333333332,0.21875,0.27625,0.3640833333333333,5783.233371531119,23.037831999999998,infer,imagenet,NCS2Workstation
55,NASNetMobile,TFLITE,RasPi,,,5326716.0,5289978.0,36738.0,0.14771269243796858,23338.50109053947,39648.0,1.0,0.6277004495,0.8054543642,0.8463643613,0.8883663187,23338.50109053947,23.037831999999998,infer,imagenet,TFLITERasPi
56,ResNet101,,Workstation,,,44707176.0,44601832.0,105344.0,0.09707706162002351,20668.89716640349,12000.0,64.0,0.7232499999999998,0.8620833333333332,0.89925,0.9329166666666667,20668.89716640349,179.68035999999998,infer,imagenet,Workstation
58,ResNet101,EDGE TPU,RasPi,,,44707176.0,44601832.0,105344.0,0.015632365679156403,2469.8861603097616,105728.0,1.0,0.7444223938,0.8695084819,0.8942610918,0.91734631,2470.27696945174,179.68035999999998,infer,imagenet,EDGE TPURasPi
59,ResNet101,EDGE TPU,Workstation,,,44707176.0,44601832.0,105344.0,0.08421524480978648,4724.452325170944,12000.0,1.0,0.7213333333333334,0.8581666666666666,0.8921666666666667,0.9204166666666667,4726.557706291188,179.68035999999998,infer,imagenet,EDGE TPUWorkstation
60,ResNet101,NCS2,RasPi,,,44707176.0,44601832.0,105344.0,0.03445722020005936,5444.1518427866495,61674.666666666664,1.0,0.7502582644999999,0.8707726184999999,0.9034317457,0.9336758736,5445.013273291651,179.68035999999998,infer,imagenet,NCS2RasPi
61,ResNet101,NCS2,Workstation,,,44707176.0,44601832.0,105344.0,0.11861460373136734,6462.275397677459,12000.0,1.0,0.7228333333333333,0.8614166666666666,0.8986666666666666,0.9313333333333333,6465.2407627707435,179.68035999999998,infer,imagenet,NCS2Workstation
62,ResNet101,TFLITE,RasPi,,,44707176.0,44601832.0,105344.0,0.3215918793486577,50811.20536240306,52864.0,1.0,0.7442502175,0.8703421778,0.8917600043,0.9205089169,50811.20536240306,179.68035999999998,infer,imagenet,TFLITERasPi
63,ResNet101V2,,Workstation,,,44675560.0,44577896.0,97664.0,0.08569318769375484,19126.31868582318,12000.0,64.0,0.6765833333333333,0.8315833333333332,0.8746666666666667,0.9131666666666667,19126.31868582318,,infer,imagenet,Workstation
65,ResNet101V2,EDGE TPU,RasPi,,,44675560.0,44577896.0,97664.0,0.015801316420333437,2496.5879724316296,105728.0,1.0,0.6538350007,0.7917436929,0.8286573873,0.8639897782,2496.983005342138,,infer,imagenet,EDGE TPURasPi
66,ResNet101V2,EDGE TPU,Workstation,,,44675560.0,44577896.0,97664.0,0.08723492342895933,4860.55144839006,12000.0,1.0,0.668,0.8097499999999999,0.84625,0.8755000000000001,4862.732321475784,,infer,imagenet,EDGE TPUWorkstation
67,ResNet101V2,NCS2,RasPi,,,44675560.0,44577896.0,97664.0,0.03773845577848545,5962.583818058719,66080.0,1.0,0.6661410758,0.8133925982,0.8544747716,0.9008173844000001,5963.527279453181,,infer,imagenet,NCS2RasPi
68,ResNet101V2,NCS2,Workstation,,,44675560.0,44577896.0,97664.0,0.12117071521944471,6580.465975696968,12000.0,1.0,0.6773333333333333,0.82925,0.8694166666666666,0.90325,6583.495243577454,,infer,imagenet,NCS2Workstation
69,ResNet101V2,TFLITE,RasPi,,,44675560.0,44577896.0,97664.0,0.39528585125371224,62454.76906169163,33040.0,1.0,0.6586649993,0.8041630419,0.8404152168,0.863500435,62454.76906169163,,infer,imagenet,TFLITERasPi
71,ResNet50,,Workstation,,,25636712.0,25583592.0,53120.0,0.05446468697653876,11179.110114046656,12000.0,64.0,0.7044166666666666,0.85075,0.887,0.9253333333333332,11179.110114046656,102.985688,infer,imagenet,Workstation
72,ResNet50,EDGE TPU,RasPi,,,25636712.0,25583592.0,53120.0,0.031909191823106704,5041.585201678398,26432.0,1.0,0.7180884805,0.8466815282,0.8752582645,0.9080895679,5042.382931473976,102.985688,infer,imagenet,EDGE TPURasPi
73,ResNet50,EDGE TPU,Workstation,,,25636712.0,25583592.0,53120.0,0.04307166351212396,2404.323161329176,12000.0,1.0,0.7006666666666667,0.8450000000000001,0.8790833333333333,0.9103333333333333,2405.399952916979,102.985688,infer,imagenet,EDGE TPUWorkstation
74,ResNet50,NCS2,RasPi,,,25636712.0,25583592.0,53120.0,0.016047979566727894,2535.5389306228053,66080.0,1.0,0.7180884805,0.8555939176,0.8841706539,0.917749565,2535.9401301119733,102.985688,infer,imagenet,NCS2RasPi
75,ResNet50,NCS2,Workstation,,,25636712.0,25583592.0,53120.0,0.06955007890860239,3843.86937402024,12000.0,1.0,0.70425,0.8506666666666667,0.8863333333333333,0.9231666666666666,3845.6081259929547,102.985688,infer,imagenet,NCS2Workstation
76,ResNet50,TFLITE,RasPi,,,25636712.0,25583592.0,53120.0,0.16561632149584465,26167.20457183124,66080.0,1.0,0.7198419603,0.8458478324,0.8769256561,0.9097569595,26167.20457183124,102.985688,infer,imagenet,TFLITERasPi
78,ResNet50V2,,Workstation,,,25613800.0,25568360.0,45440.0,0.045886415746476915,9913.541942282507,12000.0,64.0,0.659,0.8168333333333333,0.8589166666666667,0.9025,9913.541942282507,,infer,imagenet,Workstation
79,ResNet50V2,EDGE TPU,RasPi,,,25613800.0,25568360.0,45440.0,0.0175545180344216,2773.578442760282,52864.0,1.0,0.6338263013,0.7709873858,0.8154904306,0.8539854284,2774.0173057111424,,infer,imagenet,EDGE TPURasPi
80,ResNet50V2,EDGE TPU,Workstation,,,25613800.0,25568360.0,45440.0,0.04485291029347314,2506.4570759463363,12000.0,1.0,0.652,0.7984166666666667,0.8394166666666667,0.8725833333333334,2507.5783987036725,,infer,imagenet,EDGE TPUWorkstation
81,ResNet50V2,NCS2,RasPi,,,25613800.0,25568360.0,45440.0,0.013137814688065583,2075.7407438314326,79296.0,1.0,0.6355797811,0.7917436929,0.833573474,0.8831647818,2076.069189198634,,infer,imagenet,NCS2RasPi
82,ResNet50V2,NCS2,Workstation,,,25613800.0,25568360.0,45440.0,0.07465655704339345,4061.317613984964,12000.0,1.0,0.6588333333333334,0.8151666666666667,0.8548333333333332,0.8950833333333333,4063.1840279110493,,infer,imagenet,NCS2Workstation
83,ResNet50V2,TFLITE,RasPi,,,25613800.0,25568360.0,45440.0,0.13041875311302537,20606.02033675199,52864.0,1.0,0.6379086922,0.7782323836000001,0.8194006452,0.8580678193,20606.02033675199,,infer,imagenet,TFLITERasPi
89,Xception,EDGE TPU,RasPi,,,22910480.0,22855952.0,54528.0,0.014628268477655018,2311.23869133734,72688.0,1.0,0.7403400029,0.8842567421,0.9161682616,0.9391673916,2311.6043980492814,91.973528,infer,imagenet,EDGE TPURasPi
90,Xception,EDGE TPU,Workstation,,,22910480.0,22855952.0,54528.0,0.05876736093891991,3262.46487715872,12000.0,1.0,0.7241666666666666,0.8685,0.90325,0.9364166666666667,3263.934061182193,91.973528,infer,imagenet,EDGE TPUWorkstation
91,Xception,NCS2,RasPi,,,22910480.0,22855952.0,54528.0,0.21915737230041063,34626.332133055956,26432.0,1.0,0.7713317384000001,0.907169784,0.9392534798,0.9571643468,34631.811067363466,91.973528,infer,imagenet,NCS2RasPi
92,Xception,NCS2,Workstation,,,22910480.0,22855952.0,54528.0,0.2755216054254108,14898.383611006751,12000.0,1.0,0.7706666666666667,0.8988333333333335,0.93025,0.9566666666666667,14905.271651142386,91.973528,infer,imagenet,NCS2Workstation
93,Xception,TFLITE,RasPi,,,22910480.0,22855952.0,54528.0,0.41064299337785387,64881.2106032489,52864.0,1.0,0.7403400029,0.8825893504,0.9195030448,0.9408347832,64881.2106032489,91.973528,infer,imagenet,TFLITERasPi
